Player,Team,Position,Opp,Projection,Image
Christian McCaffrey,SF,RB,LAR,22.92,https://sleepercdn.com/content/nfl/players/thumb/4034.jpg
Jonathan Taylor,IND,RB,LV,22.52,https://sleepercdn.com/content/nfl/players/thumb/6813.jpg
Josh Allen,BUF,QB,NE,22.24,https://sleepercdn.com/content/nfl/players/thumb/4984.jpg
De'Von Achane,MIA,RB,CAR,22.23,https://sleepercdn.com/content/nfl/players/thumb/9226.jpg
Puka Nacua,LA,WR,SF,21.58,https://sleepercdn.com/content/nfl/players/thumb/9493.jpg
Jahmyr Gibbs,DET,RB,CIN,20.29,https://sleepercdn.com/content/nfl/players/thumb/9221.jpg
Jalen Hurts,PHI,QB,DEN,20.14,https://sleepercdn.com/content/nfl/players/thumb/6904.jpg
Patrick Mahomes,KC,QB,JAX,19.92,https://sleepercdn.com/content/nfl/players/thumb/4046.jpg
Justin Fields,NYJ,QB,DAL,19.87,https://sleepercdn.com/content/nfl/players/thumb/7591.jpg
Jaxon Smith-Njigba,SEA,WR,TB,19.87,https://sleepercdn.com/content/nfl/players/thumb/9488.jpg
Justin Herbert,LAC,QB,WSH,19.73,https://sleepercdn.com/content/nfl/players/thumb/6797.jpg
Kyler Murray,ARI,QB,TEN,19.46,https://sleepercdn.com/content/nfl/players/thumb/5849.jpg
Jayden Daniels,WAS,QB,LAC,18.69,https://sleepercdn.com/content/nfl/players/thumb/11566.jpg
Saquon Barkley,PHI,RB,DEN,18.49,https://sleepercdn.com/content/nfl/players/thumb/4866.jpg
Jared Goff,DET,QB,CIN,18.35,https://sleepercdn.com/content/nfl/players/thumb/3163.jpg
Amon-Ra St Brown,DET,WR,CIN,18.35,https://a.espncdn.com/i/teamlogos/nfl/500/DET.png
James Cook,BUF,RB,NE,18.23,https://sleepercdn.com/content/nfl/players/thumb/8138.jpg
Daniel Jones,IND,QB,LV,18.04,https://sleepercdn.com/content/nfl/players/thumb/5870.jpg
Drake Maye,NE,QB,BUF,17.87,https://sleepercdn.com/content/nfl/players/thumb/11564.jpg
